Population,Total Population,Females,Males,Married Females,Married Males,Girls,Boys
63,102,31,32,0,9,6,8
65,104,32,33,0,9,7,9
66,105,33,33,0,9,8,8
64,105,32,32,1,9,8,8
64,106,32,32,2,9,9,8
66,108,34,32,0,7,11,7
66,110,34,32,0,8,13,7
66,110,34,32,0,8,12,7
68,113,37,31,0,8,14,6
69,114,38,31,0,9,15,6
70,116,39,31,0,9,16,5
71,118,39,32,1,9,16,5
69,118,39,30,1,9,16,5
69,118,39,30,0,8,15,4
67,118,37,30,0,10,15,4
68,119,38,30,1,11,16,4
68,119,38,30,0,10,15,3
68,120,37,31,1,11,14,4
68,120,37,31,1,11,13,3
70,122,38,32,0,10,13,4
70,122,38,32,1,11,13,4
69,122,38,31,1,10,12,4
70,123,39,31,2,11,11,4
72,126,38,34,1,9,9,7
74,128,38,36,1,9,9,9
76,130,39,37,1,8,7,10
76,130,39,37,2,7,6,10
78,132,40,38,3,6,6,10
78,133,41,37,3,6,6,9
81,138,41,40,3,3,7,13
79,138,41,38,3,1,7,13
82,142,40,42,4,2,7,17
86,147,42,44,5,3,9,19
89,151,42,47,5,3,9,23
90,152,42,48,5,3,9,23
91,153,42,49,5,3,9,24
94,156,44,50,6,3,10,24
93,156,44,49,5,2,10,24
95,159,45,50,5,3,11,26
98,162,46,52,4,2,11,28
98,162,46,52,5,3,11,25
98,164,47,51,5,3,12,24
98,165,47,51,5,3,11,24
98,165,47,51,6,3,11,24
101,168,50,51,6,6,13,23
104,171,51,53,6,8,13,25
103,172,50,53,6,8,13,21
105,174,52,53,6,8,15,21
108,177,54,54,7,9,17,18
107,178,53,54,8,9,15,16
108,180,54,54,8,12,16,13
108,181,53,55,7,11,16,13
108,181,53,55,7,15,16,12
105,181,51,54,7,14,14,11
105,182,51,54,7,18,14,12
106,185,52,54,7,19,14,12
107,186,52,55,7,20,13,11
111,190,56,55,8,20,17,11
112,193,56,56,6,18,17,12
113,195,57,56,5,18,18,12
116,198,59,57,3,17,20,13
117,201,59,58,1,15,19,14
119,203,61,58,1,15,20,12
119,204,62,57,0,15,20,12
122,207,63,59,0,15,19,14
125,210,63,62,3,15,17,16
127,212,64,63,0,13,17,17
129,214,66,63,1,13,18,16
133,218,68,65,2,12,20,17
134,221,68,66,4,13,21,19
136,224,68,68,5,13,22,21
135,224,67,68,6,14,22,20
135,226,68,67,4,13,23,18
136,227,69,67,3,12,24,17
139,231,69,70,1,10,21,20
142,234,72,70,0,10,23,18
145,237,73,72,1,12,23,19
145,238,74,71,0,12,22,18
149,243,76,73,4,12,22,20
156,250,81,75,4,13,25,22
161,255,84,77,5,14,27,24
162,258,86,76,6,14,28,23
161,258,86,75,8,15,28,20
